Test,mt12_finalAnalysisReport,mt16_acc0.63_finalAnalysisReport,mt16_acc0.682_finalAnalysisReport,mt16_acc0.81_finalAnalysisReport,mt16_acc0.89_finalAnalysisReport,mt8_finalAnalysisReport
BlockFrequency,0.739918,0.066882,0.350485,0.911413,0.534146,0.739918
CumulativeSums,0.387546,0.4423155,0.3282355,0.300514,0.4311215,0.236405
FFT,0.534146,0.739918,0.066882,0.350485,0.122325,0.911413
Frequency,0.739918,0.739918,0.066882,0.911413,0.122325,0.350485
LinearComplexity,0.122325,0.911413,0.213309,0.739918,0.122325,0.213309
LongestRun,0.350485,0.739918,0.350485,0.534146,0.350485,0.534146
NonOverlappingTemplate,0.46187935810810843,0.46375408108108146,0.44025813605442166,0.49683178378378456,0.48181419594594654,0.5111739527027035
OverlappingTemplate,0.350485,0.911413,0.122325,0.350485,0.534146,0.213309
Rank,0.534146,0.350485,0.122325,0.350485,0.534146,0.066882
Runs,0.739918,0.350485,0.739918,0.213309,0.534146,0.350485
Serial,0.236405,0.7227795,0.4311215,0.3282355,0.3282355,0.534146
